Issue,Date,Red Balls,Blue Ball,Sales,Prize Pool,1st Prize Winners,1st Prize Amount
2024119,2024-10-17(四),2:9:26:27:31:32:14,4,10000000,72,421211,"343,140,726","2,308,462,079",详情
2024118,2024-10-15(二),2:3:4:6:11:15:14,5,9295085,64,419441,"342,882,326","2,257,480,299",详情
2024117,2024-10-13(日),3:12:14:16:29:32:12,4,9643552,113,205466,"376,451,952","2,223,422,878",详情
2024116,2024-10-10(四),1:15:20:22:31:32:3,2,10000000,66,377266,"352,746,618","2,192,343,800",详情
2024115,2024-10-08(二),3:10:11:19:27:28:7,29,5193979,178,39504,"341,744,330","2,137,644,946",详情
2024114,2024-10-06(日),7:11:18:24:27:32:4,6,8359466,250,100783,"354,097,454","2,267,175,046",详情
2024113,2024-09-29(日),4:5:23:24:26:31:11,1,10000000,65,352996,"377,101,508","2,241,743,848",详情
2024112,2024-09-26(四),8:11:16:25:29:32:3,9,6945481,163,134274,"348,744,958","2,182,909,574",详情
2024111,2024-09-24(二),1:4:11:12:22:30:16,11,6770241,178,136746,"339,434,250","2,179,758,898",详情
2024110,2024-09-22(日),4:13:17:23:25:33:14,4,10000000,69,376070,"368,550,846","2,181,209,099",详情
2024109,2024-09-19(四),3:4:24:28:29:33:9,9,6920631,72,300098,"343,699,030","2,143,362,495",详情
2024108,2024-09-17(二),1:8:9:23:24:30:8,8,6743322,139,125418,"323,582,976","2,140,826,873",详情
2024107,2024-09-15(日),1:6:8:13:17:19:9,18,5505283,90,126320,"354,933,898","2,142,473,782",详情
2024106,2024-09-12(四),3:8:11:22:31:33:4,11,6945786,208,128627,"347,018,184","2,207,462,227",详情
2024105,2024-09-10(二),2:5:17:19:29:33:4,6,7983113,62,360860,"342,083,742","2,203,602,195",详情
2024104,2024-09-08(日),5:16:23:24:26:29:4,10,6546611,206,93847,"373,660,982","2,184,380,821",详情
2024103,2024-09-05(四),12:21:23:27:32:33:15,8,7570038,115,223481,"346,931,426","2,191,849,007",详情
2024102,2024-09-03(二),9:15:18:21:22:25:1,5,8500888,197,111068,"344,796,788","2,175,308,161",详情
2024101,2024-09-01(日),8:12:15:17:19:30:8,11,6191911,103,159114,"374,345,806","2,152,170,943",详情
2024100,2024-08-29(四),13:14:19:20:27:30:5,3,10000000,79,279912,"348,781,408","2,171,115,625",详情
2024099,2024-08-27(二),4:12:17:24:26:27:16,9,7097651,92,256506,"344,108,040","2,134,776,394",详情
2024098,2024-08-25(日),3:8:10:20:30:31:2,9,7358066,171,155135,"381,156,802","2,127,859,521",详情
2024097,2024-08-22(四),4:10:12:13:18:30:3,3,10000000,40,661419,"354,395,754","2,114,497,370",详情
2024096,2024-08-20(二),2:4:14:18:23:27:13,4,10000000,203,125916,"352,522,568","2,065,127,017",详情
2024095,2024-08-18(日),4:6:9:14:16:21:3,17,5582857,199,62239,"385,134,230","2,028,443,682",详情
2024094,2024-08-15(四),6:13:17:22:25:27:9,57,5000000,273,6000,"350,072,302","2,086,195,097",详情
2024093,2024-08-13(二),1:5:7:11:12:15:12,4,10000000,148,170570,"348,127,806","2,371,195,097",详情
2024092,2024-08-11(日),3:8:11:12:18:29:5,14,6068073,234,79877,"370,253,242","2,335,461,640",详情
2024091,2024-08-08(四),13:15:16:19:20:24:10,2,10000000,88,317304,"356,693,206","2,364,340,809",详情
2024090,2024-08-06(二),7:11:17:24:31:32:12,7,7608042,85,268474,"350,631,612","2,300,572,454",详情
2024089,2024-08-04(日),3:6:9:15:18:31:1,12,6626327,166,146957,"380,044,140","2,285,367,632",详情
2024088,2024-08-01(四),3:8:10:17:30:32:10,3,10000000,135,157988,"354,401,976","2,291,698,840",详情
2024087,2024-07-30(二),3:9:18:19:20:26:11,59,5228549,131,128667,"346,836,290","2,257,713,590",详情
2024086,2024-07-28(日),17:19:20:23:25:31:2,3,10000000,61,341471,"369,996,636","2,515,631,484",详情
2024085,2024-07-25(四),1:5:15:21:23:27:15,5,9820923,106,284252,"345,948,072","2,483,142,282",详情
2024084,2024-07-23(二),1:8:10:13:19:29:13,5,9498987,98,286925,"347,931,710","2,441,854,586",详情
2024083,2024-07-21(日),3:9:14:29:32:33:15,8,7801042,101,277330,"378,567,992","2,404,993,508",详情
2024082,2024-07-18(四),1:2:13:16:17:29:16,3,10000000,89,276317,"350,123,408","2,383,370,581",详情
2024081,2024-07-16(二),1:6:12:17:23:25:4,11,6976154,501,54235,"351,219,750","2,339,593,701",详情
2024080,2024-07-14(日),6:11:12:27:29:30:13,9,7278585,197,130122,"375,983,952","2,334,815,017",详情
2024079,2024-07-11(四),2:3:6:7:16:26:4,10,6615076,324,62310,"351,442,404","2,323,420,019",详情
2024078,2024-07-09(二),5:9:14:21:22:26:12,17,5673644,171,83713,"342,123,330","2,329,005,428",详情
2024077,2024-07-07(日),1:4:6:14:17:22:8,5,7552556,92,173407,"369,020,954","2,382,512,560",详情
2024076,2024-07-04(四),3:22:24:27:29:32:15,2,10000000,80,329957,"348,856,354","2,372,414,911",详情
2024075,2024-07-02(二),3:5:8:18:22:28:1,18,5938531,320,65990,"345,694,980","2,313,225,143",详情
